City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
92,la passe,45.5549,-0.8967,19.430000000000007,76,1,6.04,FR,1723668619
93,cidreira,-30.1811,-50.2056,12.990000000000009,71,0,2.52,BR,1723668620
94,beloyarskiy,63.7119,66.6722,13.330000000000041,95,100,6.41,RU,1723668621
95,hawkesbury,45.6001,-74.616,28.360000000000014,74,97,2.88,CA,1723668624
96,lompoc,34.6391,-120.4579,24.77000000000004,44,0,5.72,US,1723668352
97,tahoua,14.8888,5.2692,26.07000000000005,75,25,3.47,NE,1723668626
98,bokovskaya,49.229,41.8306,18.30000000000001,46,55,4.24,RU,1723668627
99,olonets,60.9847,32.9698,11.79000000000002,73,0,1.88,RU,1723668629
100,colonia,50.9333,6.95,20.53000000000003,78,75,2.06,DE,1723668630
101,cockburn town,21.4612,-71.1419,27.660000000000025,80,33,8.86,TC,1723668631
102,hadibu,12.65,54.0333,26.27000000000004,81,32,7.09,YE,1723668632
103,djibo,14.1022,-1.6306,28.760000000000048,64,100,4.36,BF,1723668635
104,mount pearl,47.5166,-52.7813,15.180000000000007,74,75,3.09,CA,1723668636
105,constantia,44.1833,28.65,23.379999999999995,59,0,6.35,RO,1723668637
106,stanley,54.868,-1.6985,13.770000000000039,74,0,3.6,GB,1723668638
107,fale old settlement,-9.3852,-171.2468,28.0,73,7,4.14,TK,1723668639
108,timbuktu,16.7735,-3.0074,33.69,43,79,4.51,ML,1723668641
109,zhanaozen,43.3,52.8,24.58000000000004,46,98,10.67,KZ,1723668642
110,ulladulla,-35.35,150.4667,14.32000000000005,95,90,2.28,AU,1723668643
111,olonkinbyen,70.9221,-8.7187,5.400000000000034,94,58,8.01,SJ,1723668644
112,floro,61.5996,5.0328,14.04000000000002,88,100,2.57,NO,1723668645
113,udachny,66.4167,112.4,7.160000000000025,60,91,2.77,RU,1723668647
114,blackmans bay,-43.0167,147.3167,8.620000000000005,94,100,0.45,AU,1723668648
115,port elizabeth,-33.918,25.5701,13.939999999999998,66,20,9.77,ZA,1723668649
116,nova sintra,14.8667,-24.7167,25.78000000000003,82,65,5.57,CV,1723668650
117,murrells inlet,33.551,-79.0414,30.160000000000025,64,0,3.6,US,1723668651
118,east london,-33.0153,27.9116,13.370000000000005,56,1,11.34,ZA,1723668653
119,khandyga,62.6667,135.6,7.460000000000036,55,0,3.05,RU,1723668654
120,talnakh,69.4865,88.3972,11.990000000000009,64,5,2.07,RU,1723668655
121,ilulissat,69.2167,-51.1,7.010000000000048,81,75,3.6,GL,1723668656
122,rikaze,29.25,88.8833,11.990000000000009,45,62,2.33,CN,1723668657
123,utrik,11.2278,169.8474,27.960000000000036,73,100,7.09,MH,1723668659
124,newman,37.3138,-121.0208,33.920000000000016,14,0,1.48,US,1723668660
125,aparri,18.3333,121.6167,25.220000000000027,93,100,2.12,PH,1723668661
126,kone,-21.0595,164.8658,21.660000000000025,74,23,3.23,NC,1723668662
127,sitka,57.0531,-135.33,15.939999999999998,72,100,0.0,US,1723668663
128,cabo san lucas,22.8909,-109.9124,33.670000000000016,58,40,2.57,MX,1723668186
129,mili,6.0815,171.735,29.07000000000005,73,100,6.73,MH,1723668666
130,kingston,17.997,-76.7936,32.870000000000005,66,20,3.6,JM,1723668667
131,dolores,-36.3132,-57.6792,13.220000000000027,69,100,2.51,AR,1723668668
132,porto velho,-8.7619,-63.9039,35.03000000000003,26,0,3.09,BR,1723668669
133,keflavik,64.0049,-22.5624,9.950000000000045,93,100,7.72,IS,1723668670
134,gazojak,41.1875,61.4036,30.480000000000018,22,32,5.75,TM,1723668672
135,papao,-17.75,-149.55,28.82000000000005,74,7,1.82,PF,1723668673
136,lyantor,61.6195,72.1555,13.29000000000002,97,80,6.16,RU,1723668675
137,la sarre,48.8002,-79.1996,26.75,50,64,2.76,CA,1723668677
138,alvaraes,-3.2208,-64.8042,32.93000000000001,35,37,1.13,BR,1723668678
139,mandalgovi,45.7625,106.2708,17.680000000000007,56,69,2.28,MN,1723668679
140,alofi,-19.0595,-169.9187,20.939999999999998,68,100,5.14,NU,1723668680
141,pampa del infierno,-26.5052,-61.1744,25.29000000000002,25,0,2.17,AR,1723668681
142,liman,48.9884,37.8023,16.879999999999995,50,43,2.07,UA,1723668683
143,starokucherganovka,46.3248,47.9555,20.960000000000036,40,0,5.0,RU,1723668684
144,tanggu,39.0211,117.6469,24.980000000000018,75,42,0.94,CN,1723668685
145,piti village,13.4626,144.6933,26.28000000000003,90,70,3.95,GU,1723668686
146,shalqar,47.8333,59.6,23.49000000000001,27,99,3.44,KZ,1723668687
147,maragogi,-9.0122,-35.2225,24.04000000000002,74,32,5.14,BR,1723668689
148,luderitz,-26.6481,15.1594,19.350000000000023,36,3,5.08,NA,1723668614
149,katsuren-haebaru,26.3369,127.8719,29.210000000000036,87,75,1.54,JP,1723668691
150,severobaykal'sk,55.65,109.3167,13.470000000000027,92,100,1.88,RU,1723668692
151,flying fish cove,-10.4217,105.6791,24.82000000000005,83,75,5.66,CX,1723668693
152,belmonte,-15.8631,-38.8828,23.450000000000045,78,75,4.76,BR,1723668695
153,muravlenko,63.7898,74.523,12.770000000000039,96,47,5.81,RU,1723668696
154,dudinka,69.4058,86.1778,10.620000000000005,67,7,3.83,RU,1723668697
155,tolanaro,-25.0319,46.9987,23.04000000000002,83,0,7.2,MG,1723668698
156,hamilton,39.1834,-84.5333,31.910000000000025,39,0,4.12,US,1723668577
157,tura,25.5198,90.2201,24.78000000000003,97,100,1.8,IN,1723668700
158,hithadhoo,-0.6,73.0833,28.30000000000001,73,86,7.84,MV,1723668702
159,emmett,43.8735,-116.4993,30.760000000000048,18,0,3.44,US,1723668703
160,petropavlovsk-kamchatsky,53.0452,158.6483,12.330000000000041,94,100,1.0,RU,1723668704
161,kidal,18.4411,1.4078,29.310000000000002,57,82,7.59,ML,1723668705
162,lihue,21.9789,-159.3672,27.77000000000004,67,0,6.17,US,1723668706
163,sinabang,2.4803,96.3801,26.200000000000045,83,96,1.66,ID,1723668708
164,tyrnavos,39.7378,22.2892,24.900000000000034,41,0,0.0,GR,1723668709
165,minas de marcona,-15.2119,-75.1103,15.25,62,4,5.71,PE,1723668710
166,port lincoln,-34.7333,135.8667,14.430000000000007,78,100,2.38,AU,1723668711
167,bhimunipatnam,17.8833,83.4333,28.730000000000018,86,100,4.66,IN,1723668712
168,karratha,-20.7377,116.8463,21.170000000000016,37,0,4.6,AU,1723668714
169,whakatane,-37.9585,176.9854,8.270000000000039,96,9,2.24,NZ,1723668715
